City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Morondava,MG,-20.2833,44.2833,79.07,42,4,14.05,clear sky
79,Vaini,TO,-21.2,-175.2,73.56,83,75,6.91,broken clouds
80,Labuhan,ID,-6.8844,112.2051,80.2,82,100,5.97,light rain
81,General Roca,AR,-39.0333,-67.5833,92.62,18,33,12.21,scattered clouds
82,Lasa,IT,46.6166,10.7002,47.28,49,7,3.83,clear sky
83,Prince Albert,CA,53.2001,-105.7677,46.35,53,20,14.97,few clouds
84,Kismayo,SO,-0.3582,42.5454,78.51,80,0,15.66,clear sky
85,Kruisfontein,ZA,-34.0033,24.7314,66.88,83,100,10.78,overcast clouds
86,Narsaq,GL,60.9167,-46.05,32.22,68,96,5.7,overcast clouds
87,Beloslav,BG,43.1833,27.7,47.98,87,0,6.91,clear sky
88,Lavrentiya,RU,65.5833,-171.0,15.78,85,100,6.98,overcast clouds
89,Batangafo,CF,7.3008,18.2833,75.25,81,70,2.26,light rain
90,Hals,DK,56.9961,10.3081,52.38,83,69,16.02,broken clouds
91,Anderson,US,34.5334,-82.6499,54.79,96,90,1.01,moderate rain
92,Hilo,US,19.7297,-155.09,79.11,67,1,3.44,clear sky
93,Claudio,BR,-20.4433,-44.7658,81.12,49,80,3.91,broken clouds
94,Itarema,BR,-2.9248,-39.9167,84.49,62,0,17.85,clear sky
95,Shafranovo,RU,53.9667,54.7667,35.46,73,100,12.64,overcast clouds
96,Alofi,NU,-19.0595,-169.9187,69.69,94,5,3.44,clear sky
97,Puerto Ayora,EC,-0.7393,-90.3518,76.96,87,24,5.01,few clouds
98,Taoudenni,ML,22.6783,-3.9836,87.85,28,93,9.24,overcast clouds
99,Awjilah,LY,29.1081,21.2869,76.23,38,16,4.12,few clouds
100,Viedma,AR,-40.8135,-62.9967,99.86,12,16,14.81,few clouds
101,Butaritari,KI,3.0707,172.7902,81.72,70,11,11.21,few clouds
102,Cabo San Lucas,MX,22.8909,-109.9124,86.5,53,1,4.0,clear sky
103,Rapar,IN,23.5667,70.6333,80.44,31,0,2.64,clear sky
104,Port Hardy,CA,50.6996,-127.4199,46.58,100,75,4.61,broken clouds
105,Vieux Fort,LC,13.7167,-60.95,87.15,66,20,16.11,haze
106,Port Elizabeth,ZA,-33.918,25.5701,69.1,94,40,4.61,light rain
107,Mackay,AU,-21.15,149.2,72.05,94,40,4.61,scattered clouds
108,Ponta Delgada,PT,37.7333,-25.6667,68.72,83,40,8.05,scattered clouds
109,Benghazi,LY,32.1167,20.0667,73.31,70,13,8.9,few clouds
110,Fukue,JP,32.6881,128.8419,67.19,62,100,24.43,overcast clouds
111,Romilly-Sur-Seine,FR,48.5108,3.7263,54.72,71,9,9.46,clear sky
112,Methana,GR,37.5823,23.3914,60.78,65,16,17.29,few clouds
113,Vangaindrano,MG,-23.35,47.6,66.6,62,0,15.28,clear sky
114,Kantilo,IN,20.35,85.1833,76.86,84,83,1.72,broken clouds
115,Gurgentepe,TR,40.7883,37.6017,44.49,97,91,2.44,overcast clouds
116,Lososina,RU,48.9975,140.3106,35.22,77,1,5.86,clear sky
117,Carnarvon,AU,-24.8667,113.6333,64.47,63,0,18.41,clear sky
118,Sulphur,US,30.2366,-93.3774,75.18,33,1,21.85,clear sky
119,Kearney,US,40.6995,-99.0815,59.56,40,1,21.99,clear sky
120,Mahebourg,MU,-20.4081,57.7,75.25,83,20,10.36,few clouds
121,Tasiilaq,GL,65.6145,-37.6368,32.16,76,100,8.23,overcast clouds
122,Iqaluit,CA,63.7506,-68.5145,37.13,64,90,4.61,overcast clouds
123,Quartucciu,IT,39.2519,9.1794,64.0,75,40,2.3,scattered clouds
124,Kyshtovka,RU,56.555,76.6271,36.0,59,100,17.09,overcast clouds
125,Sao Filipe,CV,14.8961,-24.4956,78.94,78,100,10.92,overcast clouds
126,Kavaratti,IN,10.5669,72.642,81.07,76,100,3.98,overcast clouds
127,Victoria,HK,22.2855,114.1577,77.38,85,69,5.01,broken clouds
128,Moche,PE,-8.1711,-79.0092,66.38,72,64,13.8,broken clouds
129,Longyearbyen,SJ,78.2186,15.6401,17.44,73,0,6.91,clear sky
130,Belaya Gora,RU,68.5333,146.4167,0.55,94,100,2.15,overcast clouds
131,Saint-Augustin,CA,51.226,-58.6502,47.23,47,0,7.31,clear sky
132,Ostrovnoy,RU,68.0531,39.5131,25.56,76,100,11.39,overcast clouds
133,Port Keats,AU,-14.25,129.55,83.91,76,40,9.82,scattered clouds
134,Nishihara,JP,26.1842,127.7558,70.88,56,20,8.05,few clouds
135,Yellowknife,CA,62.456,-114.3525,35.42,100,90,0.0,overcast clouds
136,Santiago Del Estero,AR,-27.7951,-64.2615,98.8,14,0,15.39,clear sky
137,Turukhansk,RU,65.8167,87.9833,13.12,88,100,13.04,overcast clouds
138,Pisco,PE,-13.7,-76.2167,66.02,82,0,9.22,clear sky
139,Curuca,BR,-0.7289,-47.8481,81.73,77,66,4.9,broken clouds
140,Wuan,CN,31.6836,112.0044,59.16,69,21,2.59,few clouds
141,Zhigansk,RU,66.7697,123.3711,18.18,91,100,13.0,overcast clouds
142,Tura,IN,25.5198,90.2201,67.08,91,0,3.91,clear sky
143,Fort Morgan,US,40.2503,-103.8,55.81,25,1,29.93,clear sky
144,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,104.18,20,79,8.25,broken clouds
