City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Talnakh,RU,2021-10-22 03:39:47,69.4865,88.3972,17.67,97,94,2.39
67,Praia Da Vitoria,PT,2021-10-22 03:39:47,38.7333,-27.0667,67.75,88,40,7.99
68,East London,ZA,2021-10-22 03:36:15,-33.0153,27.9116,67.14,94,0,6.91
69,Nantucket,US,2021-10-22 03:39:48,41.2835,-70.0995,66.09,88,1,13.8
70,Nador,MA,2021-10-22 03:39:49,35.174,-2.9287,66.45,72,0,13.8
71,Olavarria,AR,2021-10-22 03:39:49,-36.8927,-60.3225,61.02,85,92,4.43
72,Haines Junction,CA,2021-10-22 03:39:50,60.7522,-137.5108,33.75,86,100,1.14
73,San Rafael,AR,2021-10-22 03:37:21,-34.6177,-68.3301,61.09,45,72,3.2
74,Honiara,SB,2021-10-22 03:38:12,-9.4333,159.95,85.41,67,93,3.85
75,Zhezkazgan,KZ,2021-10-22 03:39:51,47.8043,67.7144,35.6,51,94,16.06
76,Tezu,IN,2021-10-22 03:39:52,27.9167,96.1667,77.88,81,76,1.03
77,Tilichiki,RU,2021-10-22 03:39:52,60.4667,166.1,12.2,83,14,4.85
78,Carnarvon,AU,2021-10-22 03:39:53,-24.8667,113.6333,75.27,53,0,19.57
79,Makokou,GA,2021-10-22 03:39:53,0.5738,12.8642,68.41,100,97,0.63
80,Flin Flon,CA,2021-10-22 03:39:54,54.7682,-101.865,28.31,67,0,4.94
81,Constitucion,CL,2021-10-22 03:39:54,-35.3333,-72.4167,51.1,82,100,10.42
82,Souillac,MU,2021-10-22 03:35:53,-20.5167,57.5167,77.36,83,75,9.22
83,Santiago Del Estero,AR,2021-10-22 03:39:55,-27.7951,-64.2615,75.81,33,0,10.74
84,Peniche,PT,2021-10-22 03:39:56,39.3558,-9.3811,61.61,84,0,21.23
85,Egvekinot,RU,2021-10-22 03:39:56,66.3167,-179.1667,12.24,95,87,4.79
86,Basoko,CD,2021-10-22 03:39:57,1.2391,23.616,69.19,97,100,1.88
87,Dzhebariki-Khaya,RU,2021-10-22 03:37:27,62.2167,135.8,27.55,95,100,8.84
88,Pisco,PE,2021-10-22 03:39:58,-13.7,-76.2167,62.02,82,0,6.91
89,Upernavik,GL,2021-10-22 03:39:59,72.7868,-56.1549,20.52,92,100,9.4
90,Lebu,CL,2021-10-22 03:39:59,-37.6167,-73.65,48.27,78,0,13.24
91,Tigil,RU,2021-10-22 03:40:00,57.8,158.6667,30.31,98,100,5.88
92,Wittlich,DE,2021-10-22 03:40:00,49.9833,6.8833,41.22,96,75,4.61
93,Bredasdorp,ZA,2021-10-22 03:40:01,-34.5322,20.0403,58.32,82,100,4.61
94,Hornepayne,CA,2021-10-22 03:40:02,49.2138,-84.7705,31.77,97,98,6.98
95,Puerto Rico,AR,2021-10-22 03:40:03,-26.796,-55.024,60.37,86,8,1.54
96,Dikson,RU,2021-10-22 03:40:04,73.5069,80.5464,21.27,76,73,9.44
97,Leningradskiy,RU,2021-10-22 03:35:21,69.3833,178.4167,6.31,86,87,12.48
98,Guerrero Negro,MX,2021-10-22 03:40:05,27.9769,-114.0611,67.41,81,0,10.92
99,Geraldton,AU,2021-10-22 03:40:06,-28.7667,114.6,73.81,40,0,14.97
100,Mokhsogollokh,RU,2021-10-22 03:40:07,61.4681,128.9203,37.18,77,100,11.05
101,Salalah,OM,2021-10-22 03:36:11,17.0151,54.0924,73.49,68,20,4.61
102,Sarny,UA,2021-10-22 03:40:07,51.338,26.6019,51.78,59,36,18.07
103,Kapaa,US,2021-10-22 03:40:08,22.0752,-159.319,82.38,74,40,1.99
104,Alice Springs,AU,2021-10-22 03:39:24,-23.7,133.8833,94.55,14,0,12.66
105,Bambous Virieux,MU,2021-10-22 03:40:09,-20.3428,57.7575,77.22,83,75,9.22
106,Port Lincoln,AU,2021-10-22 03:37:44,-34.7333,135.8667,65.71,64,92,13.2
107,Tiksi,RU,2021-10-22 03:40:10,71.6872,128.8694,8.44,93,100,7.14
108,Saskylakh,RU,2021-10-22 03:36:21,71.9167,114.0833,-1.17,100,96,3.02
109,Buala,SB,2021-10-22 03:40:10,-8.145,159.5921,83.12,73,100,5.39
110,Margate,GB,2021-10-22 03:40:11,51.3813,1.3862,42.96,78,1,21.09
111,Samarai,PG,2021-10-22 03:40:12,-10.6167,150.6667,83.3,68,30,11.68
112,Odweyne,SO,2021-10-22 03:40:12,9.4092,45.064,72.34,38,73,4.9
113,Marawi,PH,2021-10-22 03:40:13,7.9986,124.2928,73.65,84,84,5.66
114,Khalkhal,IR,2021-10-22 03:40:14,37.6189,48.5258,40.48,65,0,2.08
